"","biome","disease","prevalence","CI"
"1","ATLANTIC","Eastern equine encephalitis virus",18.8,"7.2 - 36.4"
"2","CERRADO","Eastern equine encephalitis virus",0,"0 - 10"
"3","PANTANAL","Eastern equine encephalitis virus",0,"0 - 9.5"
"4","ATLANTIC","Bluetongue virus",15.6,"5.3 - 32.8"
"5","CERRADO","Bluetongue virus",91.4,"76.9 - 98.2"
"6","PANTANAL","Bluetongue virus",2.7,"0.1 - 14.2"
"7","ATLANTIC","Infectious bovine rhinotracheitis virus",3.1,"0.1 - 16.2"
"8","CERRADO","Infectious bovine rhinotracheitis virus",0,"0 - 10"
"9","PANTANAL","Infectious bovine rhinotracheitis virus",2.8,"0.1 - 14.5"
"10","ATLANTIC","Porcine parvovirus",0,"0 - 18.5"
"11","CERRADO","Porcine parvovirus",97.1,"85.1 - 99.9"
"12","PANTANAL","Porcine parvovirus",100,"89.7 - 100"
"13","ATLANTIC","Leptospira interrogans",25,"11.5 - 43.4"
"14","CERRADO","Leptospira interrogans",60,"42.1 - 76.1"
"15","PANTANAL","Leptospira interrogans",73,"55.9 - 86.2"
